sin_identity,schedule_number,special_item_number,sin_group_title,sin_description1,sin_description2,sin_order,co_fname,co_lname,co_phone,co_email
1326,66,603 3               ,"Laboratory Instruments, Furnishings and LIMS",Laboratory Centrifuges,"Laboratory centrifuges are designed to place suspended  gravity environments by spinning, which separates substances of different densities in mixtures.  Included in this category are micro, general purpose, clinical types and ultracentrifuges. ",0,,,,
1329,66,603 7               ,"Laboratory Instruments, Furnishings and LIMS",Tissue Embedding Equipment,"Tissue embedding equipment is used to prepare and inject paraffin and other embedding media into tissue samples. The media facilitates the handling of the sample for thin sectioning and ultimate microscopy. Tissue embedding and tissue processing stations are available with microprocessor controlled automatic sample processing. The systems can be programmed to automatically perform some or all of the following processes: tissue stabilizing, tissue dehydration, dehydration extraction, media infiltration, media embedding, sectioning and storage. Some stations have sample cassette enclosures to contain solvent vapors, solvent and media stirring mechanisms, cooling and heated work surfaces and vacuum systems to facilitate sample infiltration and sample embedding.",0,,,,
1322,66,603 10              ,"Laboratory Instruments, Furnishings and LIMS","Microscopes: Metallographic, Multipurpose And Electron","Metallographic microscopes that use reflected illumination from the specimen surface to observe the chemical composition and crystalline structure of metals are included in this category.  The category of multipurpose microscopes includes components and subassemblies that can be configured in modular formats into microscopes and microscope systems suitable for specific scientific and industrial applications.  Components include video image equipment, photographic attachments, subassembly eyepieces, lens stages, arms, optical carriers/bases and nosepieces. Also available are application specific microscope based workstations and video systems.  The component hardware assembles into or modifies conventional upright microscopes, inverted type microscopes and other microscope configurations such as laser scanning confocal microscopy systems not listed in other SINs.  The industrial and scientific applications include routine tasks, research and advanced research.  Configured and modified microscopes are suitable for tasks that include measurement, analysis, processing, observation, photography, video imaging recording, displaying and computer processing.  Electron microscopes in this SIN category focus electron beams into specimens producing hyper magnified images on video screens.  Includes both scanning and transmission types.  Features include variable pressure specimen chambers to neutralize specimen charging, motorized specimen stages and optional large sample chambers.  Environmental scanning electron microscopes are available for analysis of hydrated samples, biological cells, plants, non-conducting specimens and porous materials with little or no sample preparation.",0,,,,
1316,66,566 2               ,"Laboratory Instruments, Furnishings and LIMS","Individual Non-Modular Laboratory Tables, Cabinets, Benches, Laboratory Carts","This SIN includes general-purpose free standing laboratory furniture such as cabinets, tables, sinks and desks. This SIN also includes portable workstations and carts for the transportation and storage of laboratory equipment.

The following types of non-modular laboratory furniture are included in this SIN:
free standing laboratory furniture, mobile ovens, cabinets, benches and instrument carts, with chemically resistant work surfaces.
Laboratory sinks, cup sinks and related plumbing fixtures.
Free standing laboratory base wood cabinets and base metal cabinets with drawers, hinged doors and adjustable shelves.
Mobile work benches, chemical workstations with pipeting drawers, storage and seating areas.
Mobile oven cabinet benches and cases.
Self contained casework and task workstations.",0,,,,
1484,66,66 621              ,Geophysical and Environmental Analysis Equipment,"Radioactivity Detectors
","Radioactivity detectors detect, monitor and analyze radioactive sources of airborne radioactive particles.  Examples of such instruments are survey meters, ionization chambers, neutron detectors, radon monitors, radiation dosimeters and alpha, beta and gamma detectors.  These instruments are typically used for hazard detection in the field and laboratory, and in industrial hygiene applications.  Includes directly related options and accessories.
",0,,,,
500003521,599,599 4               , ,Air Charter Services - Owner Operated,"Commercial charter and related services for both domestic and international travel and transportation needs. Including, but not limited to, a full range of owner-operated charter services is available, including passenger;  medical/patient transport; emergency; environmental/climatology; agricultural; charter management; prisoner/alien transport.",4,,,,
500003523,51 V      ,515 002             ,LEASING AND RENTAL DEPARTMENT,Rental,"Includes rental of all commercial products, equipment and machinery covered under the Schedule 51V such as: tools; tool kits; hardware store products; paint and coating applicators and accessories; appliances; lawn and garden equipment and machinery; and woodworking/ metalworking and industrial equipment and machinery. Excludes consumable products.  ",2,,,,
500003524,48,653 3               , ,"Relocation Software, Technology Tools and Services","Includes relocation software and automation/technology tools that help agencies track, manage and report on their relocation programs. It includes authorization, planning, repatriation, expense management, tax gross ups, expense entry, communications, and integrations with
financial systems, etc.",13,,,,
500003527,51 V      ,051 99              , ,Introduction of New Products and Services ,A new or improved commercially available product or service that has the potential to provide more economical or efficient means for Federal agencies to accomplish their mission where no permanent method of supply is currently available.  These products and services must be related to products and services offered under the Hardware SuperStore 51 V Schedule.,,,,,
500003532,65 II C   ,C-6A                ,OPERATORY ITEMS,"Light, Curing Units - Halogen", ,,,,,
500003533,65 II C   ,C-6B                ,OPERATORY ITEMS,"Light, Curing Units - LED", ,,,,,
500003534,65 II C   ,C-6C                ,OPERATORY ITEMS,"Light, Curing Units - Plasma ARC", ,,,,,
500003535,SATCOM II ,TYPE I              , ,Transport Services,"All service providers offer Mobile Satellite Service (MSS), Fixed Satellite Service (FSS), or both. MSS is satellite service intended for use with terminals that are capable of communicating while on the move (transport service) as well as handheld and portable equipment required to deliver the service to the user. FSS is satellite based transmission to support agency networks and mission critical applications such as wide band video.  FSS includes transportable terminals for use in any emergency response or quick deployable applications.  These terminals can consist of very small aperture terminals (VSAT) and other various sized terminals.",,,,,
